team,group,squad_number,position,player,date_of_birth,age,caps,goals,club,player_count,wiki_link,birthplace,lon,lat
Panama,G,17,DF,Luis Ovalle,1988-09-07,29,25,0,Olimpia,1,https://en.wikipedia.org/wiki/Luis_Ovalle,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,18,FW,Luis Tejada,1982-03-28,36,105,43,Sport Boys,1,https://en.wikipedia.org/wiki/Luis_Tejada,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,19,MF,Alberto Quintero,1987-12-18,30,89,5,Universitario,1,https://en.wikipedia.org/wiki/Ricardo_%C3%81vila,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,20,MF,Aníbal Godoy,1990-02-10,28,88,2,San Jose Earthquakes,1,https://en.wikipedia.org/wiki/An%C3%ADbal_Godoy,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,21,MF,José Luis Rodríguez,1998-06-19,19,1,0,Gent,1,"https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Rodr%C3%ADguez_(footballer,_born_1998)","Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,22,GK,Álex Rodríguez,1990-08-05,27,6,0,San Francisco,1,https://en.wikipedia.org/wiki/%C3%81lex_Rodr%C3%ADguez_(Panamanian_footballer),"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,23,DF,Felipe Baloy ,1981-02-24,37,102,3,Municipal,1,https://en.wikipedia.org/wiki/Felipe_Baloy,"Panama City, Panama",-79.51986959999999,8.9823792
Tunisia,G,1,GK,Farouk Ben Mustapha,1989-07-01,28,15,0,Al-Shabab,1,https://en.wikipedia.org/wiki/Farouk_Ben_Mustapha,"Bizerte, Tunisia",9.8641609,37.2767579
Tunisia,G,2,DF,Syam Ben Youssef,1989-03-31,29,41,1,Kasımpaşa,1,https://en.wikipedia.org/wiki/Syam_Ben_Youssef,"Marseille, France",5.36978,43.296482
Tunisia,G,3,DF,Yohan Benalouane,1987-03-28,31,3,0,Leicester City,1,https://en.wikipedia.org/wiki/Yohan_Benalouane,"Bagnols-sur-Cèze, France",4.620075,44.16252
